iter	RMSE
579	0.1299064017
580	0.1298607364
581	0.1298210651
582	0.129795679
583	0.1297451809
584	0.1297036143
585	0.1296641009
586	0.1296084194
587	0.1295588658
588	0.1295157365
589	0.1294661858
590	0.1294170676
591	0.1293735657
592	0.129331088
593	0.1292549766
594	0.1291901377
595	0.1291539949
596	0.1290974083
597	0.1290546033
598	0.1290080552
599	0.12894705
600	0.1289195516
601	0.1288621382
602	0.1288263423
603	0.1287578292
604	0.1286878452
605	0.1286460308
606	0.1285943651
607	0.128544361
608	0.128514729
609	0.1284781278
610	0.1284262306
611	0.1283689679
612	0.128334313
613	0.1283046076
614	0.1282549137
615	0.1282049303
616	0.1281657549
617	0.1281379534
618	0.1281109331
619	0.1280651519
620	0.1280398327
621	0.128001856
622	0.1279533032
623	0.1279082653
624	0.1278649702
625	0.127804418
626	0.1277514026
627	0.1276932023
628	0.1276280297
629	0.1275961123
630	0.1275564772
631	0.1275112558
632	0.1274639632
633	0.1274278263
634	0.1273744262
635	0.1273226875
636	0.1272792948
637	0.1272366519
638	0.1271727672
639	0.1271115424
640	0.1270819216
641	0.1270362033
642	0.1270038967
643	0.1269788358
644	0.1269338515
645	0.1268924907
646	0.1268527123
647	0.1268295887
648	0.1267819894
649	0.1267351889
650	0.1266913247
651	0.1266545255
652	0.1266048366
653	0.1265626562
654	0.1265137335
655	0.1264552694
656	0.1263965759
657	0.1263625928
658	0.1263208181
659	0.1262894693
660	0.1262422462
661	0.1262123828
662	0.1261674211
663	0.12613432
664	0.1260852316
665	0.126034444
666	0.1259941261
667	0.1259586727
668	0.1259303553
669	0.1258873795
670	0.1258602071
671	0.1258324406
672	0.1258014552
673	0.1257697125
674	0.1257205133
675	0.1256575946
676	0.1256269478
677	0.1255841076
678	0.125550404
679	0.1255025902
680	0.1254586318
681	0.125422068
682	0.1253868829
683	0.1253598467
684	0.1253267772
685	0.1252675983
686	0.1252058356
687	0.125176002
688	0.1251194705
689	0.125082999
690	0.1250273918
691	0.124986942
692	0.1249536569
693	0.1249173576
694	0.1248625619
695	0.1247903215
696	0.1247609955
697	0.1247175846
698	0.124678181
699	0.1246460052
700	0.1246074412
701	0.1245637997
702	0.1245176732
703	0.1244835257
704	0.1244571925
705	0.1244054395
706	0.1243620607
707	0.1243282833
708	0.1242782233
709	0.1242379744
710	0.1242051658
711	0.1241572085
712	0.1241214104
713	0.1240725317
714	0.1240435145
715	0.1240093885
716	0.1239548437
717	0.1239061323
718	0.1238850901
719	0.1238280298
720	0.1238058754
721	0.1237573471
722	0.1237208053
723	0.1236781124
724	0.1236608955
725	0.1236337224
726	0.1235963415
727	0.1235640747
728	0.1235472893
729	0.1235210915
730	0.1235157078
731	0.1234858266
732	0.1234255917
733	0.1233888002
734	0.1233502495
735	0.1233226013
736	0.1232925098
737	0.1232609614
738	0.1232161478
739	0.1231886829
740	0.1231404821
741	0.1230808404
742	0.1230629364
743	0.1230216642
744	0.1229758213
745	0.1229295759
746	0.122870273
747	0.1228561135
748	0.1228099328
749	0.1227683368
750	0.1227132534
751	0.1226693024
752	0.1226330805
753	0.1225978504
754	0.122574453
755	0.1225254922
756	0.122490488
757	0.122470254
758	0.1223904776
759	0.1223444761
760	0.1222924049
761	0.1222512679
762	0.1222174904
763	0.1221746749
764	0.1221274465
765	0.1220856253
766	0.1220449019
767	0.1219983905
768	0.121968858
769	0.1219134719
770	0.1218760093
771	0.1218421905
772	0.1217921251
773	0.1217496592
774	0.1217131198
775	0.121683849
776	0.1216528454
777	0.1216092687
778	0.1215667633
779	0.1215384215
780	0.1215112126
781	0.1214813701
782	0.121443893
783	0.1214193291
784	0.1213744546
785	0.1213328893
786	0.1212849356
787	0.121239426
788	0.1212016824
789	0.1211294017
790	0.1210788682
791	0.1210403078
792	0.1210107203
793	0.120969146
794	0.1209146618
