iter	Passed	Remaining
133	4222	20985
134	4230	20841
135	4263	20818
136	4296	20792
137	4329	20770
138	4363	20748
139	4396	20724
140	4428	20695
141	4460	20669
142	4493	20643
143	4525	20614
144	4558	20589
145	4591	20567
146	4624	20541
147	4657	20517
148	4690	20493
149	4723	20469
150	4757	20446
151	4790	20422
152	4823	20396
153	4856	20371
154	4888	20342
155	4921	20316
156	4954	20291
157	4988	20270
158	5021	20242
159	5053	20215
160	5087	20192
161	5121	20167
162	5154	20142
163	5187	20116
164	5219	20086
165	5252	20059
166	5284	20032
167	5317	20005
168	5350	19976
169	5383	19950
170	5416	19923
171	5449	19895
172	5482	19869
173	5515	19844
174	5547	19811
175	5578	19779
176	5609	19743
177	5639	19704
178	5669	19668
179	5698	19628
180	5728	19591
181	5758	19553
182	5789	19519
183	5818	19478
184	5846	19435
185	5876	19397
186	5908	19368
187	5941	19342
188	5974	19315
189	6008	19290
190	6040	19261
191	6074	19234
192	6107	19208
193	6140	19180
194	6174	19155
195	6179	19041
196	6213	19019
197	6246	18990
198	6279	18964
199	6312	18937
200	6345	18910
201	6350	18800
202	6383	18774
203	6417	18748
204	6450	18721
205	6484	18696
206	6517	18671
207	6550	18643
208	6584	18618
209	6617	18592
210	6650	18565
211	6683	18538
212	6716	18510
213	6749	18482
214	6782	18455
215	6814	18425
216	6848	18399
217	6853	18296
218	6886	18269
219	6903	18199
220	6940	18182
221	6970	18149
222	7001	18116
223	7031	18080
224	7035	17979
225	7065	17944
226	7095	17910
227	7100	17813
228	7130	17779
229	7160	17745
230	7190	17710
231	7224	17686
232	7259	17665
233	7293	17641
234	7327	17616
235	7360	17590
236	7393	17564
237	7411	17500
238	7444	17474
239	7478	17448
240	7512	17424
241	7545	17398
242	7579	17374
243	7613	17348
244	7646	17322
245	7679	17294
246	7712	17268
247	7747	17243
248	7777	17209
249	7807	17176
250	7837	17141
251	7867	17108
252	7899	17080
253	7930	17046
254	7959	17011
255	7989	16977
256	8019	16943
257	8048	16908
258	8064	16845
259	8095	16812
260	8100	16729
261	8131	16698
262	8163	16667
263	8195	16639
264	8226	16607
265	8255	16574
266	8285	16540
267	8317	16510
268	8326	16436
269	8343	16378
270	8347	16294
271	8350	16210
272	8379	16176
273	8408	16141
274	8438	16110
275	8470	16082
276	8474	16000
277	8508	15975
278	8541	15951
279	8575	15925
280	8608	15899
281	8641	15873
282	8674	15847
283	8707	15821
284	8711	15741
285	8727	15685
286	8761	15661
287	8771	15593
288	8805	15569
289	8809	15492
290	8843	15468
291	8876	15443
292	8909	15417
293	8943	15391
294	8976	15366
295	9010	15342
296	9043	15316
297	9076	15290
298	9110	15265
299	9115	15192
300	9148	15166
301	9182	15141
302	9215	15115
303	9248	15089
304	9281	15064
305	9318	15043
306	9358	15028
307	9392	15003
308	9426	14978
309	9459	14952
310	9493	14927
311	9495	14851
312	9528	14825
313	9562	14799
314	9594	14773
315	9628	14746
316	9661	14720
317	9665	14650
318	9698	14624
319	9700	14551
320	9733	14524
321	9767	14499
322	9770	14428
323	9773	14359
324	9778	14291
325	9813	14268
326	9845	14241
327	9875	14210
328	9877	14140
329	9907	14110
330	9937	14080
331	9966	14049
332	9995	14017
333	10025	13988
334	10055	13957
335	10084	13926
336	10089	13861
337	10118	13830
338	10120	13762
339	10152	13735
340	10185	13709
341	10218	13683
342	10250	13657
343	10284	13632
344	10319	13609
345	10351	13581
346	10380	13551
347	10410	13521
348	10415	13459
349	10445	13430
350	10476	13401
351	10505	13370
352	10536	13342
353	10565	13311
354	10569	13248
355	10598	13218
356	10628	13189
357	10664	13166
358	10694	13137
359	10725	13109
360	10754	13078
361	10784	13049
362	10814	13019
363	10843	12988
364	10873	12958
365	10903	12928
366	10932	12898
367	10962	12869
368	10992	12838
369	11024	12812
370	11059	12787
371	11092	12762
372	11126	12737
373	11159	12710
374	11193	12685
375	11223	12655
376	11252	12625
377	11281	12594
378	11311	12565
379	11341	12535
380	11371	12505
381	11401	12475
382	11430	12445
383	11460	12415
384	11490	12385
385	11519	12355
386	11549	12325
387	11581	12297
388	11585	12240
389	11601	12196
390	11634	12169
391	11668	12144
392	11701	12118
393	11706	12062
394	11739	12037
395	11772	12010
396	11806	11984
397	11839	11958
398	11873	11933
399	11903	11903
400	11934	11875
401	11938	11819
